#epoch, step, actionA, actionB, reward_n, game_dif_score, playerA_score, playerB_score, epsilon
129,232180,16,20,0,-5,7,12,0.897126849991
130,233966,6,33,0,0,4,4,0.896323149991
131,235752,12,31,0,0,14,14,0.895519449991
132,237538,16,24,0,6,12,6,0.89471574999
133,239324,0,29,0,10,25,15,0.89391204999
134,241110,0,19,0,8,18,10,0.89310834999
135,242896,16,20,0,-12,27,39,0.89230464999
136,244682,15,28,0,-3,10,13,0.89150094999
137,246468,11,18,0,-2,0,2,0.89069724999
138,248254,9,31,0,-4,12,16,0.88989354999
139,250040,8,33,0,0,3,3,0.88908984999
140,251826,7,24,0,-2,6,8,0.88828614999
141,253612,7,23,0,0,0,0,0.88748244999
142,255398,12,29,0,5,13,8,0.88667874999
143,257184,7,35,0,2,18,16,0.88587504999
144,258970,5,18,0,5,15,10,0.88507134999
145,260756,3,21,0,-1,12,13,0.88426764999
146,262542,10,35,0,-4,4,8,0.883463949989
147,264328,15,25,0,-9,4,13,0.882660249989
148,266114,6,23,0,2,9,7,0.881856549989
149,267900,3,26,0,6,8,2,0.881052849989
150,269686,5,21,0,0,4,4,0.880249149989
151,271472,8,31,0,0,0,0,0.879445449989
152,273258,9,20,0,2,7,5,0.878641749989
153,275044,3,21,0,-5,1,6,0.877838049989
154,276830,15,31,0,4,19,15,0.877034349989
155,278616,10,31,0,5,13,8,0.876230649989
156,280402,4,29,0,6,13,7,0.875426949989
157,282188,3,25,0,3,5,2,0.874623249989
158,283974,0,30,0,-1,0,1,0.873819549989
159,285760,14,24,0,-7,1,8,0.873015849989
160,287546,17,30,0,-1,1,2,0.872212149988
161,289332,11,21,0,-2,8,10,0.871408449988
162,291118,16,34,0,0,0,0,0.870604749988
163,292904,2,19,0,21,45,24,0.869801049988
164,294690,0,34,0,-4,0,4,0.868997349988
165,296476,2,27,0,4,10,6,0.868193649988
166,298262,11,26,0,1,5,4,0.867389949988
167,300048,0,31,0,1,5,4,0.866586249988
168,301834,10,29,0,-7,22,29,0.865782549988
169,303620,6,22,0,-4,0,4,0.864978849988
170,305406,9,22,0,8,13,5,0.864175149988
171,307192,7,20,0,4,9,5,0.863371449988
172,308978,13,28,0,-5,3,8,0.862567749988
173,310764,4,35,0,-2,3,5,0.861764049987
174,312550,4,22,0,-6,7,13,0.860960349987
175,314336,4,30,0,-1,6,7,0.860156649987
176,316122,15,21,0,-6,9,15,0.859352949987
177,317908,15,29,0,18,26,8,0.858549249987
178,319694,4,26,0,4,12,8,0.857745549987
179,321480,17,22,0,5,5,0,0.856941849987
180,323266,4,19,0,-1,2,3,0.856138149987
181,325052,10,35,0,-2,4,6,0.855334449987
182,326838,15,22,0,-1,0,1,0.854530749987
183,328624,4,29,0,0,0,0,0.853727049987
184,330410,15,28,0,0,0,0,0.852923349987
185,332196,1,23,0,-1,7,8,0.852119649987
186,333982,6,25,0,0,0,0,0.851315949987
187,335768,3,28,0,0,0,0,0.850512249986
188,337554,0,19,0,3,5,2,0.849708549986
189,339340,9,27,0,8,17,9,0.848904849986
190,341126,16,20,0,-10,7,17,0.848101149986
191,342912,12,23,0,-3,13,16,0.847297449986
192,344698,0,19,0,5,10,5,0.846493749986
193,346484,4,31,0,-1,3,4,0.845690049986
194,348270,0,19,0,1,4,3,0.844886349986
195,350056,3,28,0,10,21,11,0.844082649986
196,351842,12,33,0,3,8,5,0.843278949986
197,353628,13,33,0,4,13,9,0.842475249986
198,355414,10,29,0,7,21,14,0.841671549986
199,357200,2,25,0,5,12,7,0.840867849986
200,358986,10,29,0,-5,5,10,0.840064149986
201,360772,7,27,0,6,11,5,0.839260449985
202,362558,7,26,0,0,3,3,0.838456749985
203,364344,1,22,0,11,14,3,0.837653049985
204,366130,17,18,0,2,4,2,0.836849349985
205,367916,1,24,0,0,1,1,0.836045649985
206,369702,0,27,0,-3,3,6,0.835241949985
207,371488,9,33,0,8,11,3,0.834438249985
208,373274,0,29,0,0,2,2,0.833634549985
209,375060,12,35,0,-3,0,3,0.832830849985
210,376846,6,29,0,-4,4,8,0.832027149985
211,378632,6,23,0,1,6,5,0.831223449985
212,380418,6,35,0,-9,4,13,0.830419749985
213,382204,0,35,0,4,12,8,0.829616049985
214,383990,13,32,0,-1,0,1,0.828812349985
215,385776,8,33,0,2,8,6,0.828008649984
216,387562,6,30,0,0,0,0,0.827204949984
217,389348,0,35,0,4,5,1,0.826401249984
218,391134,5,24,0,-2,0,2,0.825597549984
219,392920,0,29,0,0,7,7,0.824793849984
220,394706,4,35,0,-3,0,3,0.823990149984
221,396492,16,28,0,-3,1,4,0.823186449984
222,398278,4,19,0,5,14,9,0.822382749984
223,400064,0,22,0,-6,3,9,0.821579049984
224,401850,0,24,0,2,10,8,0.820775349984
225,403636,0,24,0,1,1,0,0.819971649984
226,405422,8,24,0,7,10,3,0.819167949984
227,407208,10,24,0,-4,2,6,0.818364249984
228,408994,8,29,0,3,5,2,0.817560549984
229,410780,3,27,0,-4,2,6,0.816756849983
230,412566,0,24,0,3,6,3,0.815953149983
231,414352,0,24,0,0,0,0,0.815149449983
232,416138,16,32,0,-3,2,5,0.814345749983
233,417924,0,18,0,12,14,2,0.813542049983
234,419710,2,21,0,4,9,5,0.812738349983
235,421496,1,30,0,-1,13,14,0.811934649983
236,423282,0,31,0,-7,6,13,0.811130949983
237,425068,13,18,0,-1,1,2,0.810327249983
238,426854,0,19,0,2,10,8,0.809523549983
239,428640,6,18,0,0,9,9,0.808719849983
240,430426,17,21,0,18,23,5,0.807916149983
241,432212,0,30,0,0,12,12,0.807112449983
242,433998,1,18,0,-6,10,16,0.806308749982
243,435784,0,33,0,-3,3,6,0.805505049982
244,437570,14,18,0,2,8,6,0.804701349982
245,439356,0,18,0,-1,4,5,0.803897649982
246,441142,0,31,0,11,13,2,0.803093949982
247,442928,9,18,0,-6,7,13,0.802290249982
248,444714,17,18,0,4,8,4,0.801486549982
249,446500,17,28,0,-6,5,11,0.800682849982
250,448286,8,34,0,0,11,11,0.799879149982
251,450072,11,33,0,-2,5,7,0.799075449982
252,451858,0,31,0,2,11,9,0.798271749982
253,453644,16,20,0,5,17,12,0.797468049982
254,455430,3,18,0,0,6,6,0.796664349982
255,457216,7,30,0,12,22,10,0.795860649982
256,459002,7,31,0,-1,11,12,0.795056949981
257,460788,1,29,0,6,13,7,0.794253249981
258,462574,11,23,0,2,6,4,0.793449549981
259,464360,0,20,0,2,8,6,0.792645849981
260,466146,0,34,0,-3,5,8,0.791842149981
261,467932,13,30,0,0,0,0,0.791038449981
262,469718,5,34,0,0,0,0,0.790234749981
263,471504,0,18,0,0,2,2,0.789431049981
264,473290,11,23,0,5,10,5,0.788627349981
265,475076,0,18,0,1,5,4,0.787823649981
266,476862,0,18,0,-1,4,5,0.787019949981
267,478648,12,20,0,9,13,4,0.786216249981
268,480434,0,25,0,5,8,3,0.785412549981
269,482220,15,30,0,1,1,0,0.784608849981
270,484006,0,32,0,3,4,1,0.78380514998
271,485792,8,31,0,-5,1,6,0.78300144998
272,487578,7,32,0,0,0,0,0.78219774998
273,489364,9,21,0,-3,1,4,0.78139404998
274,491150,7,32,0,0,6,6,0.78059034998
275,492936,1,18,0,-2,0,2,0.77978664998
276,494722,6,21,0,3,7,4,0.77898294998
277,496508,15,28,0,-2,2,4,0.77817924998
278,498294,3,18,0,-1,6,7,0.77737554998
279,500080,4,30,0,2,8,6,0.77657184998
280,501866,7,34,0,-1,0,1,0.77576814998
281,503652,0,33,0,-7,10,17,0.77496444998
282,505438,9,20,0,8,23,15,0.77416074998
283,507224,7,25,0,-4,13,17,0.77335704998
284,509010,14,29,0,10,23,13,0.772553349979
285,510796,0,19,0,5,14,9,0.771749649979
286,512582,6,21,0,-6,2,8,0.770945949979
287,514368,9,21,0,12,13,1,0.770142249979
288,516154,0,31,0,-6,0,6,0.769338549979
289,517940,0,33,0,-8,6,14,0.768534849979
290,519726,0,35,0,-8,12,20,0.767731149979
291,521512,3,28,0,4,18,14,0.766927449979
292,523298,14,34,0,5,11,6,0.766123749979
293,525084,15,20,0,-2,12,14,0.765320049979
294,526870,2,31,0,2,14,12,0.764516349979
